siteID,latitude,longitude,plotId,startVisitDate,endVisitDate,tagNumber,species,treeAlivestatus,diameterAtBreastHeight,treeForm,treeHeight,numberOfHollows,hollowHeight,hollowLength,hollowWidth,hollowLocation,hollowType,aspect	Length of an individual hollow
Karawatha Peri-Urban,-27.62789,153.08807,C3,1/6/09,31/8/09,C300526,E. acemoides,a,810,1,20.7,1,5.1,27,7,trunk,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,C3,1/6/09,31/8/09,C300526,E. acemoides,a,810,1,20.7,2,7.7,25,5,trunk,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300033,E. acemoides,a,866,2,30,2,18,17,17,secondary,branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300033,E. acemoides,a,866,2,30,1,21.8,17,17,secondary,branch butt,N
Karawatha Peri-Urban,-27.62789,153.08807,D5,1/6/09,31/8/09,D500315,E. acemoides,a,645,2,20.7,1,14.2,35,27,Primary,Branch end,E
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600045,E. acemoides,a,668,1,20,3,4.9,12,12,primary,branch butt,SE
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600045,E. acemoides,a,668,1,20,5,14,16,7,secondary,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600045,E. acemoides,a,668,1,20,4,14.6,12,12,secondary,branch butt,NE
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600045,E. acemoides,a,668,1,20,1,17.2,11,11,secondary,branch butt,SE
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600045,E. acemoides,a,668,1,20,2,18.5,11,11,secondary,branch butt,SE
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200237,E. acemoides,a,652,1,26,1,14.1,13,13,secondary,branch end,W
Karawatha Peri-Urban,-27.62789,153.08807,F6,1/6/09,31/8/09,F600305,E. acemoides,a,725,2,19,1,9,30,30,primary,Branch end,N
Karawatha Peri-Urban,-27.62789,153.08807,F6,1/6/09,31/8/09,F600305,E. acemoides,a,725,2,19,2,14.1,27,12,secondary,hole,N
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600130,E. baileyana,a,1146,2,23,1,12.1,27,27,primary,hollow branch,E
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600130,E. baileyana,a,1146,2,23,2,13.7,16,16,secondary,hollow branch,SE
Karawatha Peri-Urban,-27.62789,153.08807,D6,1/6/09,31/8/09,D600130,E. baileyana,a,1146,2,23,3,20,20,15,secondary,hole,NE
Karawatha Peri-Urban,-27.62789,153.08807,E3,1/6/09,31/8/09,E300073,E. baileyana,a,634,2,25,1,13,20,20,primary,branch butt,S
Karawatha Peri-Urban,-27.62789,153.08807,A8,1/6/09,31/8/09,A800160,E. carnea,a,419,2,14,1,11.5,30,30,trunk,top,N
Karawatha Peri-Urban,-27.62789,153.08807,C4,1/6/09,31/8/09,C400004,E. carnea,a,486,1,17.7,1,6.3,17,17,Secondary,Branch end,W
Karawatha Peri-Urban,-27.62789,153.08807,D3,1/6/09,31/8/09,D300469,E. carnea,a,498,1,20.3,1,12.3,10,10,secondary,branch end,SW
Karawatha Peri-Urban,-27.62789,153.08807,E2,1/6/09,31/8/09,E200302,E. carnea,a,547,2,11.5,1,5,17,6,secondary,Hole,SE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500106,E. major,a,626,2,14,3,8.1,14,14,secondary,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500106,E. major,a,626,2,14,1,9.8,16,16,secondary,branch end,NE
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500106,E. major,a,626,2,14,2,10.4,13,13,secondary,hole,E
Karawatha Peri-Urban,-27.62789,153.08807,C5,1/6/09,31/8/09,C500210,E. major,a,553,2,16.5,1,3.7,39,18,trunk,hole,S
